Real,Imag
1.2731,-1.74236
1.26405,-1.73754
1.25501,-1.73264
1.24599,-1.72767
1.23699,-1.72262
1.22801,-1.7175
1.21905,-1.7123
1.21011,-1.70703
1.20119,-1.70169
1.1923,-1.69627
1.18343,-1.69079
1.1746,-1.68524
1.16579,-1.67963
1.15701,-1.67395
1.14826,-1.66821
1.13954,-1.66241
1.13085,-1.65655
1.12219,-1.65062
1.11357,-1.64465
1.10497,-1.63861
1.09641,-1.63252
1.08787,-1.62637
1.07937,-1.62018
1.0709,-1.61392
1.06246,-1.60762
1.05404,-1.60126
1.04566,-1.59486
1.0373,-1.5884
1.02898,-1.58188
1.02068,-1.57532
1.01241,-1.56871
1.00417,-1.56204
0.995956,-1.55532
0.98777,-1.54855
0.979612,-1.54173
0.971482,-1.53485
0.963379,-1.52791
0.955305,-1.52092
0.947261,-1.51388
0.939245,-1.50678
0.93126,-1.49962
0.923306,-1.4924
0.915384,-1.48513
0.907495,-1.47779
0.89964,-1.4704
0.89182,-1.46294
0.884037,-1.45543
0.876293,-1.44785
0.868587,-1.44021
0.860923,-1.43251
0.853302,-1.42474
0.845726,-1.41692
0.838195,-1.40903
0.830712,-1.40109
0.823279,-1.39308
0.815897,-1.38501
0.808567,-1.37688
0.801292,-1.3687
0.794073,-1.36046
0.786912,-1.35216
0.779809,-1.3438
0.772767,-1.33539
0.765785,-1.32693
0.758867,-1.31842
0.752012,-1.30985
0.745221,-1.30124
0.738495,-1.29258
0.731836,-1.28388
0.725242,-1.27513
0.718716,-1.26635
0.712256,-1.25752
0.705864,-1.24865
0.699539,-1.23974
0.693281,-1.2308
0.68709,-1.22183
0.680965,-1.21282
0.674907,-1.20378
0.668914,-1.19472
0.662987,-1.18562
0.657125,-1.17649
0.651326,-1.16734
0.645591,-1.15816
0.639918,-1.14895
0.634308,-1.13972
0.628758,-1.13047
0.623269,-1.12118
0.61784,-1.11188
0.61247,-1.10255
0.607159,-1.0932
0.601906,-1.08382
0.596711,-1.07442
0.591573,-1.065
0.586492,-1.05555
0.581468,-1.04607
0.576501,-1.03657
0.571591,-1.02704
0.566738,-1.01749
0.561941,-1.00791
0.557203,-0.998307
0.552522,-0.988674
0.547899,-0.979013
0.543336,-0.969324
0.538832,-0.959607
0.534389,-0.949862
0.530008,-0.940088
0.525688,-0.930285
0.521432,-0.920454
0.517241,-0.910595
0.513115,-0.900708
0.509055,-0.890793
0.505064,-0.880851
0.50114,-0.870882
0.497287,-0.860887
0.493505,-0.850868
0.489795,-0.840824
0.486157,-0.830757
0.482594,-0.820668
0.479105,-0.810558
0.475692,-0.800428
0.472355,-0.79028
0.469095,-0.780115
0.465912,-0.769935
0.462807,-0.759742
0.459781,-0.749535
0.456832,-0.739318
0.453962,-0.729092
0.45117,-0.718858
0.448456,-0.708619
0.44582,-0.698374
0.443261,-0.688127
0.440779,-0.677878
0.438374,-0.667628
0.436045,-0.65738
0.43379,-0.647134
0.43161,-0.636892
0.429503,-0.626654
0.427468,-0.616421
0.425505,-0.606195
0.423613,-0.595976
0.421789,-0.585765
0.420035,-0.575562
0.418347,-0.565367
0.416726,-0.555182
0.415171,-0.545006
0.413679,-0.534839
0.412252,-0.524682
0.410887,-0.514534
0.409584,-0.504396
0.408343,-0.494266
0.407163,-0.484145
0.406042,-0.474033
0.404982,-0.463929
0.40398,-0.453833
0.403039,-0.443744
0.402156,-0.433662
0.401332,-0.423587
0.400568,-0.413519
0.399863,-0.403456
0.399217,-0.393399
0.398631,-0.383347
0.398106,-0.373301
0.397641,-0.363259
0.397238,-0.353223
0.396896,-0.343192
0.396617,-0.333166
0.396402,-0.323145
0.39625,-0.31313
0.396162,-0.303122
0.39614,-0.29312
0.396185,-0.283125
0.396295,-0.273138
0.396473,-0.26316
0.396719,-0.253191
0.397034,-0.243233
0.397417,-0.233287
0.397869,-0.223353
0.398392,-0.213434
0.398984,-0.20353
0.399646,-0.193642
0.400378,-0.183772
0.401181,-0.173921
0.402053,-0.164091
0.402995,-0.154282
0.404006,-0.144497
0.405085,-0.134737
0.406234,-0.125002
0.407449,-0.115295
0.408732,-0.105616
0.41008,-0.0959671
0.411494,-0.0863487
0.412971,-0.0767619
0.414511,-0.0672078
0.416114,-0.0576872
0.417777,-0.0482009
0.419499,-0.0387494
0.42128,-0.0293335
0.423117,-0.0199534
0.425011,-0.0106096
0.426959,-0.00130225
0.42896,0.00796847
0.431014,0.0172025
0.433119,0.0264
0.435273,0.035561
0.437477,0.0446858
0.439728,0.0537746
0.442027,0.0628279
0.444372,0.071846
0.446762,0.0808294
0.449198,0.0897787
0.451678,0.0986943
0.454202,0.107577
0.45677,0.116427
0.459381,0.125245
0.462035,0.134031
0.464733,0.142787
0.467474,0.151512
0.470259,0.160207
0.473087,0.168872
0.475959,0.177508
0.478875,0.186115
0.481836,0.194693
0.484841,0.203241
0.487893,0.211761
0.49099,0.220251
0.494133,0.228712
0.497324,0.237144
0.500562,0.245545
0.503848,0.253916
0.507182,0.262255
0.510565,0.270563
0.513997,0.278838
