Real,Imag
23.958,-1.59188
23.6128,-4.20324
22.9688,-6.75916
22.0341,-9.2256
20.8208,-11.5697
19.3446,-13.7602
17.6246,-15.7676
15.6834,-17.5652
13.5463,-19.1287
11.2414,-20.4369
8.79916,-21.4722
6.25162,-22.2202
3.63246,-22.6706
0.976302,-22.8169
-1.68168,-22.6567
-4.30623,-22.1914
-6.86251,-21.4269
-9.3165,-20.3726
-11.6355,-19.042
-13.7886,-17.4523
-15.7469,-15.624
-17.4842,-13.581
-18.9771,-11.3499
-20.2053,-8.9598
-21.1523,-6.44216
-21.805,-3.83002
-22.1542,-1.15776
-22.1948,1.5394
-21.9258,4.22586
-21.3501,6.8661
-20.4751,9.42516
-19.3116,11.8691
-17.8746,14.1655
-16.1828,16.2837
-14.258,18.1955
-12.1253,19.8754
-9.81268,21.3009
-7.35033,22.4527
-4.77062,23.3153
-2.10746,23.8768
0.604073,24.1295
3.3282,24.0697
6.02893,23.6976
8.67052,23.0179
11.218,22.0391
13.6375,20.7739
15.8969,19.2385
17.9661,17.4531
19.8174,15.4408
21.4262,13.2282
22.7707,10.8443
23.8329,8.32032
24.5983,5.68969
25.0565,2.98709
25.2009,0.248268
25.0292,-2.49051
24.5433,-5.19291
23.7493,-7.82304
22.6572,-10.3459
21.2811,-12.7279
19.639,-14.9372
17.7521,-16.9442
15.6452,-18.7219
13.3459,-20.2466
10.8845,-21.4974
8.29339,-22.4575
5.60672,-23.1135
2.86,-23.4563
0.0896053,-23.4808
-2.66775,-23.1861
-5.37546,-22.5757
-7.99752,-21.6571
-10.499,-20.4418
-12.8465,-18.9456
-15.0087,-17.1878
-16.9565,-15.1911
-18.6638,-12.9816
-20.1075,-10.5883
-21.268,-8.04236
-22.1294,-5.37737
-22.6798,-2.62835
-22.9114,0.168471
-22.8205,2.97616
-22.4077,5.7576
-21.6779,8.47596
-20.6403,11.0952
-19.3081,13.5804
-17.6983,15.8987
-15.8317,18.019
-13.7326,19.913
-11.4284,21.5554
-8.94913,22.9239
-6.32733,24.0002
-3.59742,24.7695
-0.795284,25.2211
2.04215,25.3487
4.87744,25.1501
7.67312,24.6275
10.3922,23.7872
12.9986,22.64
15.4577,21.2005
17.7368,19.4875
19.8055,17.5232
21.6362,15.3332
23.2043,12.9463
24.4888,10.3937
25.4722,7.70901
26.1412,4.92761
26.4864,2.0862
26.5029,-0.777663
26.1899,-3.62608
25.5513,-6.42127
24.595,-9.12612
23.3333,-11.7047
21.7825,-14.1225
19.9626,-16.3474
17.8976,-18.3495
15.6144,-20.1019
13.1429,-21.5811
10.5157,-22.767
7.76747,-23.6435
4.93439,-24.1983
2.05396,-24.4236
-0.835684,-24.3159
-3.69621,-23.8761
-6.48962,-23.1095
-9.17873,-22.0257
-11.7277,-20.6385
-14.1024,-18.9658
-16.2712,-17.0292
-18.2048,-14.854
-19.8773,-12.4687
-21.2659,-9.90435
-22.3517,-7.19472
-23.1199,-4.37544
-23.5595,-1.48364
-23.6644,1.4425
-23.4323,4.36429
-22.8658,7.24304
-21.9718,10.0406
-20.7614,12.7197
-19.2502,15.2448
-17.4576,17.5821
-15.4068,19.7005
-13.1244,21.5714
-10.6402,23.1698
-7.98675,24.474
-5.19882,25.4663
-2.31301,26.133
0.632695,26.4648
3.59945,26.4567
6.54809,26.1083
9.43961,25.4237
12.2357,24.4113
14.8992,23.0841
17.3949,21.459
19.6893,19.5572
21.7518,17.4033
23.555,15.0254
25.0744,12.4547
26.2897,9.72488
27.1842,6.87182
27.7458,3.93309
27.9664,0.947451
27.8427,-2.04564
